time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,rate_p,rate_q,rate_r,rpm_obs_1,rpm_obs_2,rpm_obs_3,rpm_obs_4,rpm_ref_1,rpm_ref_2,rpm_ref_3,rpm_ref_4,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
49.218433,3.136719,0.738281,-1.125000,0.000000,-0.039999,0.099897,0.016369,0.028209,-1.390933,-0.025391,-0.127930,0.020996,7131,8619,7100,8725,7184,8724,6972,8729,6922,108,104,2327
49.220325,3.136719,0.738281,-1.125000,0.000000,-0.039999,0.099897,0.016369,0.028209,-1.390933,-0.025391,-0.127930,0.020996,7133,8774,6932,8758,7187,8729,6965,8729,6922,111,111,2332
49.221313,3.136719,0.738281,-1.121094,0.000000,-0.039999,0.115129,0.020996,0.029053,-1.387695,0.126953,0.040283,0.077881,7131,8765,6931,8751,7046,8720,7138,8745,6936,-34,-59,2316
49.223248,3.136719,0.738281,-1.121094,0.000000,-0.039999,0.106709,0.020996,0.029053,-1.387451,0.104492,-0.020996,0.102539,7129,8761,6916,8759,7074,8728,7118,8712,6930,-30,-14,2293
49.225204,3.136719,0.738281,-1.121094,0.000000,-0.039999,0.104237,0.021240,0.028809,-1.387207,0.005127,-0.164062,0.120605,7124,8775,6920,8757,7177,8750,7035,8667,6929,29,113,2263
49.227154,3.136719,0.738281,-1.121094,0.000000,-0.039999,0.117126,0.021240,0.028809,-1.386963,0.018799,-0.002197,0.106689,7121,8766,6931,8768,7114,8678,7129,8728,6936,17,-33,2233
49.229111,3.136719,0.738281,-1.121094,0.000000,-0.039999,0.111309,0.021240,0.029053,-1.386719,0.091309,0.204102,0.131592,7116,8748,6930,8755,6992,8585,7274,8792,6934,-37,-244,2196
49.231060,3.136719,0.738281,-1.121094,0.000000,-0.039999,0.102573,0.021484,0.029053,-1.386475,0.069336,-0.013916,0.142822,7112,8764,6939,8752,7096,8651,7191,8688,6928,-29,-66,2154
49.233021,3.136719,0.738281,-1.121094,0.000000,-0.039999,0.109951,0.021729,0.028564,-1.386230,0.038086,-0.254639,0.118896,7106,8763,6944,8757,7233,8747,7089,8572,6933,-15,159,2116
49.236931,3.136719,0.738281,-1.121094,0.000000,-0.039999,0.113325,0.021729,0.028564,-1.385986,0.062500,0.011230,0.135498,7104,8770,6950,8754,7122,8627,7233,8664,6935,-37,-74,2072
