Steering Value,Filename
-0.415,175589054.jpg
-0.334,175755685.jpg
0.746,175889508.jpg
-0.324,176022350.jpg
-0.164,176155730.jpg
-0.271,176322354.jpg
0.785,176455688.jpg
-0.169,176622347.jpg
-0.161,176755678.jpg
-0.236,176889014.jpg
-0.064,177022424.jpg
-0.107,177189006.jpg
-0.165,177322341.jpg
-0.106,177455680.jpg
-0.319,177622372.jpg
-0.28,177755672.jpg
-0.337,177889019.jpg
-0.224,178055710.jpg
-0.352,178188999.jpg
-0.453,178322332.jpg
-0.339,178455715.jpg
-0.395,178622335.jpg
0.075,178755686.jpg
-0.437,178889010.jpg
-0.372,179022333.jpg
-0.343,179188992.jpg
-0.3,179322328.jpg
-0.263,179455668.jpg
-0.247,179589135.jpg
-0.22,179755651.jpg
-0.246,179888990.jpg
-0.119,180055652.jpg
0.01,180188988.jpg
0.386,180322313.jpg
0.098,180455654.jpg
0.054,180622326.jpg
0.171,180828951.jpg
0.419,180955675.jpg
0.199,181088976.jpg
0.156,181222308.jpg
0.215,181355687.jpg
0.572,181488984.jpg
0.409,181655635.jpg
0.664,181788968.jpg
0.48,181922305.jpg
0.497,182055652.jpg
0.166,182188966.jpg
0.685,182322307.jpg
0.169,182455628.jpg
0.194,182589003.jpg
0.573,182722305.jpg
0.203,182855631.jpg
0.205,182988991.jpg
0.31,183122337.jpg
0.487,183255630.jpg
0.125,183388986.jpg
0.276,183522833.jpg
0.084,183655624.jpg
0.453,183788955.jpg
-0.101,183922313.jpg
-0.193,184055646.jpg
0.442,184255636.jpg
0.355,184355624.jpg
0.479,184488986.jpg
0.408,184622283.jpg
0.59,184755620.jpg
-0.591,184888956.jpg
0.591,185022757.jpg
0.752,185155645.jpg
0.775,185288948.jpg
-0.739,185422280.jpg
-0.757,185555639.jpg
-0.758,185688941.jpg
-0.75,185822272.jpg
-0.763,185955617.jpg
-0.759,186088958.jpg
-0.744,186222278.jpg
-0.748,186355601.jpg
-0.738,186488947.jpg
-0.735,186622533.jpg
-0.739,186755633.jpg
-0.714,186888939.jpg
-0.723,187055619.jpg
-0.685,187255603.jpg
-0.7,187389006.jpg
-0.693,187588959.jpg
-0.474,187755602.jpg
-0.505,187922273.jpg
-0.357,188122254.jpg
-0.396,188288923.jpg
-0.208,188455592.jpg
-0.149,188588984.jpg
-0.201,188722292.jpg
-0.121,188855580.jpg
-0.169,188988923.jpg
-0.174,189122243.jpg
-0.232,189288917.jpg
-0.141,189422250.jpg
-0.356,189555580.jpg
-0.207,189688906.jpg
-0.268,189855576.jpg
-0.21,190088904.jpg
-0.072,190222235.jpg
0.282,190389056.jpg
0.049,190522244.jpg
0.188,190655564.jpg
0.341,190788904.jpg
0.265,190922232.jpg
0.335,191055578.jpg
0.118,191222229.jpg
0.125,191355562.jpg
0.097,191488892.jpg
0.228,191622227.jpg
0.26,191788939.jpg
0.275,191988926.jpg
-0.019,192122241.jpg
0.247,192322241.jpg
-0.055,192455551.jpg
0.229,192588921.jpg
-0.052,192722217.jpg
-0.186,192855548.jpg
-0.073,192988937.jpg
0.195,193122216.jpg
-0.169,193255551.jpg
0.27,193388885.jpg
0.083,193555550.jpg
0.358,193755540.jpg
0.228,193855545.jpg
0.391,193988881.jpg
0.354,194122204.jpg
0.215,194255534.jpg
0.326,194388879.jpg
0.418,194522205.jpg
0.351,194655534.jpg
0.47,194788872.jpg
0.411,194922213.jpg
0.412,195055546.jpg
0.366,195188866.jpg
0.378,195322196.jpg
0.467,195455530.jpg
0.522,195588918.jpg
0.417,195722229.jpg
0.38,195855532.jpg
0.623,195988869.jpg
